ID,names,masl,s_name,owner,mun,X,Y,From,To,timeOffset,timeResolution
SN26594,DRAMMEN - DANVIK,25,Danvik ,DRAMMEN KOMMUNE,DRAMMEN,10.1973,59.7327,2012-09-25T00:00:00.000Z,NA,PT0H,PT1H
SN26630,VESTFOSSEN,13,Vestfossen ,ØVRE EIKER KOMMUNE,ØVRE EIKER,9.8728,59.7323,2016-11-14T00:00:00.000Z,NA,PT0H,PT1H
SN18690,E18 HJORTNES,20,NA,STATENS VEGVESEN,OSLO,10.7043,59.9112,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN17030,ONSØY - EVJA,3,NA,FREDRIKSTAD KOMMUNE,FREDRIKSTAD,10.75,59.2648,2003-01-01T00:00:00.000Z,2017-03-31T00:00:00.000Z,PT0H,PT1H
SN18645,OSLO - SOLLI PLASS,25,Solli plass,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.7202,59.9142,2013-12-30T00:00:00.000Z,NA,PT0H,PT1H
SN26872,DRAMMEN - ØREN SKOLE,25,Øren skole ,DRAMMEN KOMMUNE,DRAMMEN,10.1705,59.7523,2012-09-25T00:00:00.000Z,NA,PT0H,PT1H
SN18205,OSLO - LØREN,88,Løren ,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.7902,59.9287,2014-02-02T00:00:00.000Z,NA,PT0H,PT1H
SN19820,HURUM RADAR,363,Hurum,MET.NO,ASKER,10.5645,59.6272,1989-07-29T00:00:00.000Z,1990-08-31T00:00:00.000Z,PT0H,PT1H
SN27590,SANDEFJORD - SENTRUM,20,Sandefjord ,SANDEFJORD KOMMUNE,SANDEFJORD,10.2195,59.129,2013-04-25T00:00:00.000Z,NA,PT0H,PT1H
SN18950,TRYVANNSHØGDA,514,Tryvannshøgda,MET.NO,OSLO,10.6693,59.9847,1997-09-16T00:00:00.000Z,NA,PT0H,PT1H
SN17640,FV155 RÅKEN,130,Råken,STATENS VEGVESEN,ENEBAKK,11.0083,59.7397,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN30320,SKIEN - ELSTRØM,13,Skien (Elstrøm),SKIEN KOMMUNE,SKIEN,9.5895,59.1992,2001-01-01T00:00:00.000Z,2019-03-31T00:00:00.000Z,PT0H,PT1H
SN3019,FREDRIKSTAD BRANNSTASJON,10,NA,FREDRIKSTAD KOMMUNE,FREDRIKSTAD,10.945,59.2105,2009-05-01T00:00:00.000Z,2017-03-31T00:00:00.000Z,PT0H,PT1H
SN19760,ASKER - VARDÅSEN,196,Vardåsen ,ASKER KOMMUNE,ASKER,10.3812,59.82,2019-10-21T00:00:00.000Z,NA,PT0H,PT1H
SN30410,SKIEN - KOLLMYR,79,Kollmyr ,SKIEN KOMMUNE,SKIEN,9.5572,59.213,2019-12-03T00:00:00.000Z,NA,PT0H,PT1H
SN19428,BÆRUM - HØVIK,10,Høvik ,BÆRUM KOMMUNE,BÆRUM,10.5777,59.8925,2019-06-27T00:00:00.000Z,NA,PT0H,PT1H
SN28750,FLESBERG,183,Flesberg,NIBIO,FLESBERG,9.3995,59.8685,2015-01-16T00:00:00.000Z,NA,PT0H,PT1H
SN30275,SKIEN - STALSBERG,40,Stalsberg ,SKIEN KOMMUNE,SKIEN,9.635,59.1988,2019-06-07T00:00:00.000Z,NA,PT0H,PT1H
SN18235,OSLO - FURUSET,160,Furuset ,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.8972,59.942,2013-05-30T00:00:00.000Z,NA,PT0H,PT1H
SN18280,RV4 GJELLERÅSEN,225,NA,STATENS VEGVESEN,LILLESTRØM,10.9287,59.9865,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN30293,SKIEN - GIMSØY,13,Gimsøy ,SKIEN KOMMUNE,SKIEN,9.6087,59.1975,2019-06-07T00:00:00.000Z,NA,PT0H,PT1H
